unit_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks
32,180.0,0.09999889,1.0,5.5092483,0.0,0.0,,,-100.70801,,,0.0055555557,0.0,0.0,0.4,,,,,135.81306,9.359724e-05,4.1677613,0.1590339,0.9930556,0.9375,0.00105,-0.03427064,0.00018,200651.89,-2142.7546,1.0,1.0
33,4.0,0.0022221976,0.1,6.1691146,0.0,0.0,,,-110.14938,,,0.0,0.0,0.0,0.0,,,,,1.5044567e+16,,4.167763,0.16998476,0.0625,0.0069444445,0.00091,-0.040130813,0.00021,102882.96,-11370.29,1.0,2.0
34,100.0,0.055554938,0.93333334,5.5308166,0.0,0.0,,,-12.588501,,,0.14,0.0,0.0,0.2,,,,,64.61137,0.17937075,2.0769668,0.06668697,0.355,0.010163112,0.00059,-0.40983972,0.00019,600344.0,-98471.84,2.0,2.0
35,78.0,0.043332852,0.93333334,18.745434,0.0,0.0,,,-352.47803,,,0.012820513,0.0,0.0,0.2,,,,,174.40807,1.6009719e-09,3.8141325,0.39717138,0.83653843,0.00043673572,0.00034,-0.105312034,0.00015,1395754.4,-37030.312,1.0,1.0
36,425.0,0.23610848,1.0,16.856089,0.0,0.0,,,-276.94702,,,0.8611765,0.002352941,0.0,0.6,,,,,56.657063,0.55347806,3.036678,0.035617772,0.4664706,0.06393442,0.00045,-0.08116543,0.00017,1592277.1,-27770.61,1.0,1.0
37,5.0,0.0027777469,0.16666667,23.232428,0.0,0.0,,,-390.24353,,,0.0,0.0,0.0,0.0,,,,,2.3784092e+16,,5.816625,0.3494762,0.25,0.0,0.00052,-0.070027046,0.00015,1471884.9,-29833.322,1.0,1.0
38,29.0,0.016110932,0.6666667,22.948154,0.0,0.0,,,-383.94928,,,0.03448276,0.0,0.0,0.2,,,,,1.5779804e+17,,6.7783847,0.42853728,0.9913793,0.00024654833,0.00033,-0.093023814,0.00015,1701423.4,-33247.754,1.0,1.0
39,425.0,0.23610848,1.0,18.35055,0.0,0.0,,,-302.12402,,,0.85882354,0.002352941,0.0,0.6,,,,,58.974907,0.5413641,2.9603682,0.011651082,0.5435294,0.056284152,0.00038,-0.09176716,0.00019,1589184.2,-30992.113,1.0,1.0
40,71.0,0.039444007,1.0,20.234692,0.0,0.0,,,-371.36078,,,0.74647886,0.0,0.0,0.2,,,,,63.979088,0.4377409,2.6740537,0.018400969,0.21830986,0.013390632,0.00033,-0.07093149,0.00015,1377090.8,-26105.299,1.0,1.0
41,203.0,0.112776525,1.0,21.596966,14.560088,1.0,,,-371.36078,,,0.5369458,0.0,0.0,0.4,,,,,60.894817,0.43824163,3.3573012,0.012905455,0.5258621,0.021509532,0.00033,-0.09185856,0.00015,1464121.8,-30569.607,1.0,1.0
43,295.0,0.16388707,1.0,21.203896,0.0,0.0,,,-358.77228,,,0.0033898305,0.0,0.0,0.4,,,,,309.27295,0.036537305,10.80376,0.018897722,0.89661014,0.008970976,0.00034,-0.09392239,0.00016,1586142.0,-33959.617,1.0,1.0
44,37.0,0.020555327,0.6666667,21.146164,0.0,0.0,,,-365.06653,,,0.0,0.0,0.0,0.2,,,,,1560118400000000.0,,4.330894,0.014433052,0.08783784,0.00784338,0.00033,-0.102620274,0.00015,1532145.2,-37369.21,1.0,1.0
45,6.0,0.0033332964,0.2,12.365645,0.0,0.0,,,-258.06427,,,0.16666667,0.0,0.0,0.0,,,,,1254362000000000.0,,2.9183617,0.016622676,0.041666668,0.000919343,0.00018,-0.24264315,0.00046,1677372.6,94327.875,2.0,2.0
46,60.0,0.033332963,0.8666667,0.3065863,0.0,0.0,,,-9.094947e-08,,,0.0,0.0,0.0,0.2,,,,,715.3389,0.0,3.983238,0.15418792,0.4875,0.0021390375,0.00137,0.04218056,0.00267,,,0.0,5.0
47,62.0,0.03444406,0.9,0.21757738,0.0,0.0,,,-9.094947e-08,,,0.06451613,0.0,0.0,0.2,,,,,185.5013,0.0023061081,1.3769829,0.0055326354,0.008064516,0.010098096,0.00033,-0.92558897,0.00098,52449.133,4318.9224,8.0,4.0
48,737.0,0.4094399,1.0,0.45794287,0.0,0.0,,0.0040999614,-9.094947e-08,7.020258,2.3541927,0.024423338,0.0,0.0,0.6,,,,,48.51043,2.3039954,1.2693585,0.0017723278,0.139,0.06817832,0.00013,0.050407175,0.00016,,,1.0,1.0
50,733.0,0.4072177,1.0,7.5367284,0.0,0.0,,0.006665306,-157.35626,0.30805516,0.1023528,0.015006822,0.0,0.0,0.8,,,,,295.6668,0.0024059503,8.678035,0.1512545,0.987,0.03737864,0.00032,-0.008547933,0.00016,603877.3,6926.6265,1.0,1.0
51,1.0,0.0005555494,0.033333335,8.784054,0.0,0.0,,,-176.23901,,,0.0,0.0,0.0,0.0,,,,,,,16.540442,1.0,0.0,0.00049309665,0.00032,-0.31366277,0.00015,999665.3,-68277.55,2.0,2.0
52,6.0,0.0033332964,0.16666667,2.1437275,0.0,0.0,,,-72.38388,,,0.0,0.0,0.0,0.0,,,,,1.2000477e+16,,13.231242,0.3689874,0.75,0.0007433102,0.00118,-0.3828871,0.00145,130473.74,-21892.354,1.0,2.0
